"size";"naive";"better";"blas"
10;0.000006;0.000005;0.004286
10;0.000006;0.000006;0.000003
10;0.000006;0.000005;0.000003
10;0.000006;0.000005;0.000003
10;0.000006;0.000005;0.000003
10;0.000005;0.000005;0.000002
10;0.000005;0.000005;0.000002
10;0.000006;0.000005;0.000002
10;0.000006;0.000006;0.000002
10;0.000006;0.000009;0.000002
20;0.000084;0.000040;0.000028
20;0.000043;0.000039;0.000016
20;0.000043;0.000051;0.000017
20;0.000054;0.000039;0.000016
20;0.000043;0.000039;0.000016
20;0.000043;0.000039;0.000017
20;0.000042;0.000039;0.000017
20;0.000043;0.000039;0.000016
20;0.000043;0.000039;0.000017
20;0.000055;0.000040;0.000017
30;0.000147;0.000143;0.000059
30;0.000144;0.000132;0.000051
30;0.000145;0.000132;0.000052
30;0.000160;0.000136;0.000053
30;0.000150;0.000137;0.000053
30;0.000149;0.000136;0.000053
30;0.000148;0.000136;0.000053
30;0.000149;0.000144;0.000053
30;0.000150;0.000137;0.000053
30;0.000149;0.000136;0.000052
40;0.000503;0.000334;0.000152
40;0.000327;0.000320;0.000152
40;0.000327;0.000335;0.000132
40;0.000364;0.000372;0.000142
40;0.000388;0.000331;0.000132
40;0.000367;0.000368;0.000135
40;0.000339;0.000334;0.000132
40;0.000337;0.000330;0.000131
40;0.000344;0.000330;0.000131
40;0.000339;0.000332;0.000132
50;0.001141;0.000646;0.000260
50;0.000676;0.000648;0.000249
50;0.000657;0.000644;0.000249
50;0.000667;0.000648;0.000242
50;0.000646;0.000625;0.000243
50;0.000637;0.000624;0.000241
50;0.000681;0.000665;0.000249
50;0.000656;0.000647;0.000249
50;0.000674;0.000673;0.000241
50;0.000702;0.000896;0.000243
60;0.001806;0.001112;0.000456
60;0.001128;0.001116;0.000431
60;0.001157;0.001110;0.000460
60;0.001148;0.001104;0.000447
60;0.001142;0.001122;0.000428
60;0.001143;0.001078;0.000415
60;0.001214;0.001128;0.000415
60;0.001101;0.001108;0.000456
60;0.001137;0.001115;0.000427
60;0.001134;0.001141;0.000428
70;0.002734;0.001773;0.000713
70;0.001862;0.001785;0.000679
70;0.001838;0.001804;0.000686
70;0.001829;0.001797;0.000675
70;0.001864;0.001844;0.001033
70;0.001853;0.001763;0.000651
70;0.001797;0.001723;0.000658
70;0.002304;0.001795;0.000671
70;0.001803;0.001772;0.000661
70;0.001773;0.001729;0.000682
80;0.003949;0.002647;0.001096
80;0.002677;0.002646;0.001023
80;0.002734;0.002685;0.001029
80;0.002724;0.002701;0.001003
80;0.002720;0.002656;0.001039
80;0.002718;0.002664;0.001093
80;0.002705;0.002679;0.000995
80;0.002769;0.002641;0.001077
80;0.002911;0.002901;0.001119
80;0.002749;0.002674;0.001040
90;0.005430;0.003869;0.001522
90;0.003873;0.004128;0.001495
90;0.003969;0.003791;0.001511
90;0.004019;0.004516;0.001441
90;0.004130;0.003534;0.001439
90;0.004086;0.003755;0.002096
90;0.003943;0.003762;0.001413
90;0.003840;0.003696;0.001378
90;0.003850;0.003723;0.001407
90;0.003853;0.003868;0.001407
100;0.007654;0.005051;0.002014
100;0.005295;0.005216;0.001961
100;0.005179;0.004930;0.001965
100;0.005236;0.005221;0.001944
100;0.005348;0.005104;0.001924
100;0.005371;0.005172;0.001947
100;0.005160;0.005042;0.002024
100;0.005263;0.004878;0.001843
100;0.005311;0.005162;0.001839
100;0.004981;0.005190;0.001930
110;0.008651;0.006800;0.002581
110;0.006782;0.006749;0.002590
110;0.007095;0.006884;0.002518
110;0.006747;0.006717;0.002473
110;0.007340;0.007732;0.002648
110;0.007089;0.006932;0.002575
110;0.006935;0.007064;0.002726
110;0.007073;0.007459;0.002622
110;0.007223;0.006921;0.002710
110;0.007044;0.006908;0.002498
120;0.011452;0.010091;0.003561
120;0.009187;0.008726;0.003442
120;0.009258;0.009043;0.003301
120;0.009307;0.008856;0.003480
120;0.010176;0.008916;0.003412
120;0.009138;0.008945;0.003239
120;0.009025;0.008855;0.003308
120;0.010556;0.009061;0.003444
120;0.009124;0.008871;0.003492
120;0.012605;0.008848;0.003453
130;0.011231;0.011251;0.004338
130;0.011622;0.011337;0.004247
130;0.011738;0.011467;0.004295
130;0.011692;0.011254;0.004098
130;0.011386;0.011296;0.004349
130;0.011675;0.011151;0.004094
130;0.011702;0.011288;0.004167
130;0.012130;0.011257;0.004469
130;0.011473;0.011358;0.004251
130;0.011773;0.011547;0.004342
140;0.016402;0.013856;0.005636
140;0.014425;0.014188;0.005092
140;0.014734;0.014003;0.005143
140;0.014450;0.013971;0.005615
140;0.015104;0.014046;0.005518
140;0.014642;0.014573;0.006018
140;0.014499;0.014044;0.005437
140;0.014412;0.013635;0.005384
140;0.014324;0.013698;0.005245
140;0.014149;0.013291;0.005068
150;0.017259;0.016848;0.006715
150;0.017688;0.018825;0.006874
150;0.019437;0.017488;0.006652
150;0.018689;0.017585;0.006685
150;0.017563;0.017527;0.006787
150;0.017495;0.017187;0.006241
150;0.017704;0.024579;0.011682
150;0.018686;0.017582;0.006796
150;0.019291;0.018327;0.006695
150;0.018819;0.018770;0.006708
